endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,0,200,610.43,356,135368,7872760,8008128,7872240,7911104,1758662689229
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,1,200,236.84,356,85208,7885208,7970416,7884688,7912352,1758662689889
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,2,200,221.49,356,85048,7886456,7971504,7885936,7913760,1758662690539
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,3,200,233.05,356,85048,7887864,7972912,7887344,7915168,1758662691201
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,0,200,245.55,358,84456,7890296,7974752,7889776,7916616,1758662692876
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,1,200,229.35,358,85296,7890656,7975952,7890136,7918136,1758662693534
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,2,200,244.73,358,85296,7892136,7977432,7891616,7919560,1758662694204
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,3,200,228.42,358,85296,7893560,7978856,7893040,7920984,1758662694857
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898479,0,200,604.45,356,84976,7895992,7980968,7895472,7922296,1758662696889
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898479,1,200,234.32,356,85288,7896408,7981696,7895888,7923808,1758662697550
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898479,2,200,221.04,356,85512,7897808,7983320,7897288,7925224,1758662698197
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898479,3,200,232.19,356,85288,7899224,7984512,7898704,7926640,1758662698859
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897479,0,200,603.48,356,84808,7901656,7986464,7901136,7927960,1758662700892
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897479,1,200,228.13,356,85632,7902056,7987688,7901536,7929816,1758662701546
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897479,2,200,236.38,356,85288,7903832,7989120,7903312,7932224,1758662702210
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897479,3,200,235.81,356,82504,7906616,7989120,7906096,7933640,1758662702871
