endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/blocks/,27898747/extrinsics-raw,0,200,182.53,152767,301232,7716160,8017392,7715640,7905656,1758664306096
/blocks/,27898747/extrinsics-raw,1,200,149.94,152767,254072,7728472,7982544,7727952,7906712,1758664306771
/blocks/,27898747/extrinsics-raw,2,200,150.27,152767,254176,7730376,7984552,7729856,7908056,1758664307455
/blocks/,27898647/extrinsics-raw,0,200,149.30,163331,271720,7731208,8002928,7730688,7927696,1758664309650
/blocks/,27898647/extrinsics-raw,1,200,149.19,163331,264872,7740792,8005664,7740272,7930040,1758664310329
/blocks/,27898647/extrinsics-raw,2,200,147.41,163331,264624,7743280,8007904,7742760,7931408,1758664311007
/blocks/,27897747/extrinsics-raw,0,200,142.53,138943,240160,7743600,7983760,7743080,7908528,1758664313202
/blocks/,27897747/extrinsics-raw,1,200,152.36,138943,240232,7746016,7986248,7745496,7909752,1758664313884
/blocks/,27897747/extrinsics-raw,2,200,156.39,138943,240408,7747384,7987792,7746864,7911296,1758664314567
/blocks/,27888747/extrinsics-raw,0,200,147.17,150133,251472,7747880,7999352,7747360,7924120,1758664316764
/blocks/,27888747/extrinsics-raw,1,200,145.98,150133,251424,7750416,8001840,7749896,7925344,1758664317439
/blocks/,27888747/extrinsics-raw,2,200,153.77,150133,251424,7751784,8003208,7751264,7926712,1758664318118
/blocks/,1000000/extrinsics-raw,0,200,124.13,833,84416,7752104,7836520,7751584,7778656,1758664320290
/blocks/,1000000/extrinsics-raw,1,200,115.25,833,84488,7754248,7838736,7753728,7779880,1758664320945
/blocks/,1000000/extrinsics-raw,2,200,194.60,833,84488,7755616,7840104,7755096,7782624,1758664321677
/blocks/,5000000/extrinsics-raw,0,200,131.61,2292,85872,7757240,7843112,7756720,7785520,1758664323870
/blocks/,5000000/extrinsics-raw,1,200,130.89,2292,86168,7759656,7845824,7759136,7786744,1758664324534
/blocks/,5000000/extrinsics-raw,2,200,134.01,2292,85944,7761024,7846968,7760504,7788112,1758664325203
