endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/runtime/metadata,,0,200,1106.25,780201,986096,7974528,8960624,7974008,8788304,1758662809425
/runtime/metadata,,1,200,290.53,780201,944216,7984016,8928232,7983496,8789400,1758662810136
/runtime/metadata,,2,200,277.35,780201,944112,7985152,8929264,7984632,8790752,1758662810834
/runtime/metadata,?at=27898479,0,200,819.50,780201,948248,7987360,8935608,7986840,8796032,1758662813077
/runtime/metadata,?at=27898479,1,200,283.15,780201,940232,7991896,8932128,7991376,8797336,1758662813779
/runtime/metadata,?at=27898479,2,200,258.00,780201,941264,7993264,8934528,7992744,8799648,1758662814458
/runtime/metadata,?at=27897479,0,200,847.70,780201,939512,7996384,8935896,7995864,8802000,1758662816728
/runtime/metadata,?at=27897479,1,200,270.02,780201,940232,7996944,8937176,7996424,8802384,1758662817418
/runtime/metadata,?at=27897479,2,200,286.02,780201,940176,7998312,8938488,7997792,8803752,1758662818125
/runtime/metadata,?at=27888479,0,200,1059.52,780201,939800,8000488,8940288,7999968,8805120,1758662820606
/runtime/metadata,?at=27888479,1,200,277.66,780201,943472,8001048,8944520,8000528,8810352,1758662821304
/runtime/metadata,?at=27888479,2,200,284.60,780201,947688,8005144,8952832,8004624,8810584,1758662822010
