endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/runtime/spec,,0,200,489.26,339,118912,7999272,8118184,7998752,8030304,1758664516591
/runtime/spec,,1,200,251.05,339,77592,8006680,8084272,8006160,8031056,1758664517372
/runtime/spec,,2,200,238.84,339,77432,8008632,8086064,8008112,8032408,1758664518156
/runtime/spec,,3,200,353.48,339,77432,8009984,8087416,8009464,8033760,1758664519035
/runtime/spec,?at=27898747,0,200,226.60,339,77536,8010776,8088312,8010256,8035712,1758664521306
/runtime/spec,?at=27898747,1,200,238.46,339,77672,8013096,8090768,8012576,8037072,1758664522079
/runtime/spec,?at=27898747,2,200,240.81,339,77616,8014456,8092072,8013936,8038288,1758664522860
/runtime/spec,?at=27898747,3,200,242.69,339,77616,8015816,8093432,8015296,8039648,1758664523633
/runtime/spec,?at=27893747,0,200,515.69,339,78048,8016216,8094264,8015696,8041152,1758664526214
/runtime/spec,?at=27893747,1,200,274.62,339,77616,8018624,8096240,8018104,8042368,1758664527033
/runtime/spec,?at=27893747,2,200,251.93,339,77616,8019896,8097512,8019376,8043728,1758664527816
/runtime/spec,?at=27893747,3,200,253.48,339,77616,8021256,8098872,8020736,8045088,1758664528607
/runtime/spec,?at=1000000,0,200,304.61,332,77512,8021656,8099168,8021136,8046576,1758664530969
/runtime/spec,?at=1000000,1,200,290.28,332,77648,8023976,8101624,8023456,8047936,1758664531795
/runtime/spec,?at=1000000,2,200,275.08,332,77592,8025336,8102928,8024816,8049152,1758664532608
/runtime/spec,?at=1000000,3,200,245.92,332,77592,8026696,8104288,8026176,8050512,1758664533395
